brand,model,year,variant,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,drive_type,seating_capacity,body_type,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,country_of_origin,market_segment,annual_sales_units,customer_rating,warranty_years,price_inr,price_per_kwh_inr,range_per_10k_inr,range_per_kwh,value_score,price_bucket
Kia,Niro EV,2024,Performance,51697.58,115.1,396.0,187.6,3.39,194.0,533.0,497.0,RWD,5,Truck,72.4,2631.0,5,1,South Korea,Mid-range,56242,3.84,4,4316747.93,37504.33,0.9174,3.4405,91.7357,₹25–50L
Volkswagen,ID.4,2024,Standard,36019.25,63.3,224.0,133.5,6.85,140.0,257.0,296.0,RWD,7,Hatchback,18.5,1771.0,4,0,Germany,Mid-range,209890,3.52,4,3007607.38,47513.54,0.7448,3.5387,74.4778,₹25–50L
Fisker,Ocean,2024,Premium,121374.95,70.8,262.0,142.8,6.04,153.0,1000.0,845.0,AWD,7,Van,69.2,1768.0,3,0,US,Luxury,26859,3.7,5,10134808.32,143147.01,0.2585,3.7006,25.8515,₹100–150L
Mercedes,EQG,2026,Premium,115211.58,57.3,174.0,69.8,6.09,161.0,622.0,619.0,RWD,7,Sedan,15.5,1500.0,4,1,Germany,Luxury,42340,3.43,6,9620166.93,167891.22,0.1809,3.0366,18.087,₹75–100L
Mercedes,EQG,2025,Standard,139106.45,61.4,208.0,51.8,6.86,150.0,922.0,787.0,RWD,7,Coupe,38.5,1656.0,5,1,Germany,Luxury,49644,3.35,6,11615388.58,189175.71,0.1791,3.3876,17.9073,₹100–150L
Hyundai,i30,2025,Standard,60050.99,47.8,165.0,73.1,7.67,133.0,663.0,681.0,AWD,5,Hatchback,24.1,1500.0,4,1,South Korea,Mid-range,138281,3.21,3,5014257.66,104900.79,0.3291,3.4519,32.9062,₹50–75L
Volkswagen,ID.4,2026,Standard,44501.34,41.7,150.0,146.0,7.64,135.0,378.0,326.0,FWD,7,Coupe,34.3,1547.0,5,1,Germany,Mid-range,220387,3.14,5,3715861.89,89109.4,0.4037,3.5971,40.3675,₹25–50L
BYD,Yuan Plus,2024,Base,40390.03,62.1,232.0,89.4,7.19,138.0,402.0,324.0,AWD,7,Coupe,35.4,1810.0,5,0,China,Mid-range,138054,3.39,4,3372567.5,54308.66,0.6879,3.7359,68.7903,₹25–50L
Tesla,Cybertruck,2024,Long Range,45682.18,109.7,377.0,312.9,5.32,165.0,335.0,376.0,RWD,5,Truck,63.3,2562.0,4,2,US,Mid-range,170687,3.94,4,3814462.03,34771.76,0.9883,3.4366,98.8344,₹25–50L
Mercedes,EQE,2025,Standard,103044.63,78.9,264.0,128.1,7.97,132.0,592.0,542.0,AWD,5,Van,63.3,1542.0,5,1,Germany,Luxury,75663,3.56,5,8604226.6,109052.3,0.3068,3.346,30.6826,₹75–100L
Ford,Mustang Mach-E,2026,Long Range,53193.55,98.0,364.0,83.3,5.19,173.0,541.0,487.0,RWD,7,Van,70.2,1783.0,4,2,US,Mid-range,23578,3.93,4,4441661.42,45323.08,0.8195,3.7143,81.9513,₹25–50L
Honda,e:Ny1,2026,Performance,51309.25,118.5,410.0,188.1,3.03,200.0,742.0,677.0,RWD,5,Sedan,36.5,1557.0,5,1,Japan,Mid-range,6885,3.78,5,4284322.38,36154.62,0.957,3.4599,95.6977,₹25–50L
Xiaomi,SU7,2024,Performance,102584.09,74.5,250.0,185.6,3.7,195.0,1000.0,937.0,AWD,5,Hatchback,38.5,1831.0,5,0,China,Luxury,19780,3.36,4,8565771.52,114976.8,0.2919,3.3557,29.1859,₹75–100L
Kia,Sportage EV,2024,Long Range,99048.18,89.0,324.0,92.3,5.55,168.0,1000.0,907.0,FWD,7,SUV,40.6,2057.0,5,0,South Korea,Premium,55742,3.56,4,8270523.03,92927.23,0.3918,3.6404,39.1753,₹75–100L
Ford,Mustang Mach-E,2023,Base,67976.38,49.0,179.0,107.9,5.74,166.0,778.0,690.0,AWD,7,SUV,39.7,2302.0,4,0,US,Premium,21067,3.27,3,5676027.73,115837.3,0.3154,3.6531,31.5361,₹50–75L
Toyota,bZ4X,2023,Standard,69285.92,67.1,201.0,99.7,5.12,168.0,831.0,745.0,AWD,7,Hatchback,36.2,1552.0,5,1,Japan,Premium,15625,3.58,4,5785374.32,86220.18,0.3474,2.9955,34.7428,₹50–75L
Mercedes,EQC,2024,Performance,167898.8,106.0,375.0,218.2,3.4,200.0,1000.0,941.0,RWD,5,Coupe,24.5,1729.0,4,1,Germany,Luxury,20936,4.04,6,14019549.8,132259.9,0.2675,3.5377,26.7484,₹100–150L
BYD,Qin,2025,Standard,36623.25,43.3,164.0,149.8,7.7,139.0,344.0,318.0,FWD,5,Truck,59.5,2509.0,5,0,China,Mid-range,185983,3.42,5,3058041.38,70624.51,0.5363,3.7875,53.6291,₹25–50L
Volkswagen,ID.5,2025,Base,30097.01,74.3,267.0,58.6,7.84,127.0,150.0,200.0,AWD,7,Coupe,36.6,1883.0,5,0,Germany,Budget,289031,3.27,5,2513100.34,33823.69,1.0624,3.5935,106.2433,₹25–50L
Tesla,Model S,2023,Performance,82511.11,85.6,289.0,232.0,4.31,180.0,553.0,487.0,FWD,5,Coupe,35.2,1518.0,4,2,US,Premium,243479,3.78,5,6889677.68,80486.89,0.4195,3.3762,41.9468,₹50–75L
Toyota,bZ Compact SUV,2022,Performance,56751.98,90.8,324.0,228.5,3.6,191.0,598.0,543.0,RWD,5,SUV,50.7,2143.0,5,1,Japan,Mid-range,9887,3.39,3,4738790.33,52189.32,0.6837,3.5683,68.3719,₹25–50L
Kia,EV6,2024,Base,30277.36,62.3,226.0,143.8,5.42,172.0,150.0,200.0,RWD,5,Van,75.2,1644.0,5,1,South Korea,Budget,130299,3.2,5,2528159.56,40580.41,0.8939,3.6276,89.3931,₹25–50L
BYD,Qin,2024,Performance,103480.37,104.9,347.0,176.2,2.95,200.0,1000.0,907.0,RWD,7,SUV,64.3,2052.0,4,0,China,Luxury,211837,3.58,5,8640610.9,82369.98,0.4016,3.3079,40.1592,₹75–100L
BMW,i7,2026,Base,48107.44,41.6,150.0,139.0,5.91,169.0,156.0,200.0,AWD,7,SUV,45.9,2060.0,4,1,Germany,Mid-range,49300,3.02,7,4016971.24,96561.81,0.3734,3.6058,37.3416,₹25–50L
Kia,Sportage EV,2023,Premium,102070.65,49.5,174.0,64.3,5.56,163.0,1000.0,940.0,FWD,7,SUV,50.1,1859.0,3,2,South Korea,Luxury,148039,3.37,4,8522899.28,172179.78,0.2042,3.5152,20.4156,₹75–100L
Volkswagen,ID.3,2025,Premium,94110.75,60.5,194.0,64.0,6.75,149.0,1000.0,888.0,AWD,7,Van,70.2,1687.0,5,1,Germany,Premium,225387,3.43,4,7858247.62,129888.39,0.2469,3.2066,24.6874,₹75–100L
Tesla,Cybertruck,2025,Standard,125305.65,42.0,158.0,277.7,6.96,136.0,868.0,786.0,AWD,7,Truck,57.9,2372.0,4,2,US,Luxury,199754,3.28,5,10463021.78,249119.57,0.151,3.7619,15.1008,₹100–150L
BMW,i7,2026,Performance,116974.41,71.9,251.0,175.3,3.87,190.0,1000.0,909.0,RWD,5,Truck,53.7,2650.0,5,2,Germany,Luxury,50944,3.38,6,9767363.24,135846.5,0.257,3.491,25.6978,₹75–100L
Hyundai,Ioniq 6,2024,Long Range,84751.75,83.1,305.0,97.4,5.49,169.0,1000.0,924.0,RWD,5,Van,61.0,1511.0,5,0,South Korea,Premium,53893,3.55,3,7076771.12,85159.7,0.431,3.6703,43.0988,₹50–75L
Ford,Explorer EV,2025,Standard,65329.39,49.5,157.0,137.3,6.01,165.0,671.0,629.0,RWD,7,Coupe,22.0,1592.0,4,2,US,Premium,24686,3.21,4,5455004.06,110202.1,0.2878,3.1717,28.7809,₹50–75L
Hyundai,Ioniq,2026,Long Range,78614.71,78.0,278.0,57.5,5.83,159.0,987.0,924.0,FWD,5,Truck,67.3,2653.0,5,2,South Korea,Premium,126223,3.68,4,6564328.28,84158.05,0.4235,3.5641,42.3501,₹50–75L
Mercedes,GLE EV,2026,Standard,135101.31,74.2,242.0,110.8,5.12,181.0,807.0,733.0,FWD,5,SUV,59.2,2160.0,4,2,Germany,Luxury,54508,3.82,5,11280959.38,152034.49,0.2145,3.2615,21.4521,₹100–150L
Kia,Niro EV,2023,Premium,96493.02,59.1,207.0,89.9,7.25,146.0,1000.0,965.0,RWD,7,Van,79.0,1729.0,5,2,South Korea,Premium,123691,3.45,4,8057167.17,136331.09,0.2569,3.5025,25.6914,₹75–100L
Kia,EV9,2023,Base,52108.05,65.9,230.0,119.1,6.72,152.0,531.0,442.0,FWD,5,SUV,53.0,1976.0,5,0,South Korea,Mid-range,98868,3.23,3,4351022.18,66024.62,0.5286,3.4901,52.8611,₹25–50L
Audi,e-tron,2023,Base,93510.78,53.0,195.0,63.5,5.08,161.0,659.0,562.0,AWD,5,Hatchback,16.9,1834.0,5,1,Germany,Premium,70832,3.16,6,7808150.13,147323.59,0.2497,3.6792,24.9739,₹75–100L
Volkswagen,ID.4,2024,Standard,78233.39,46.6,161.0,105.0,7.69,139.0,824.0,725.0,FWD,5,Coupe,19.5,1684.0,4,1,Germany,Premium,259295,3.2,3,6532488.06,140182.15,0.2465,3.4549,24.646,₹50–75L
Tesla,Model S,2025,Base,101976.23,83.7,284.0,268.2,7.24,139.0,754.0,680.0,FWD,5,Hatchback,27.1,1882.0,5,2,US,Luxury,160905,3.89,5,8515015.2,101732.56,0.3335,3.3931,33.3528,₹75–100L
Tesla,Model Y,2024,Standard,110000.94,53.4,163.0,322.5,5.33,172.0,809.0,763.0,AWD,5,Sedan,16.1,1577.0,4,2,US,Luxury,414109,3.55,4,9185078.49,172005.22,0.1775,3.0524,17.7462,₹75–100L
GM/Chevrolet,Equinox EV,2025,Performance,83117.35,106.5,362.0,215.7,3.06,200.0,1000.0,888.0,AWD,5,SUV,59.7,1801.0,3,1,US,Premium,17250,3.59,4,6940298.72,65167.12,0.5216,3.3991,52.1591,₹50–75L
BMW,i7,2025,Premium,107462.71,63.0,242.0,78.9,5.42,175.0,929.0,805.0,RWD,5,Sedan,34.2,1736.0,5,2,Germany,Luxury,59946,3.37,7,8973136.28,142430.73,0.2697,3.8413,26.9694,₹75–100L
GM/Chevrolet,Blazer EV,2022,Standard,55685.25,80.4,288.0,51.4,6.05,158.0,670.0,592.0,FWD,7,Sedan,39.9,1642.0,4,0,US,Mid-range,22694,3.58,4,4649718.38,57832.32,0.6194,3.5821,61.9392,₹25–50L
BYD,Max,2026,Performance,90766.48,91.0,318.0,231.3,2.7,200.0,1000.0,928.0,FWD,5,Sedan,29.3,1500.0,4,0,China,Premium,205278,3.53,3,7579001.08,83285.73,0.4196,3.4945,41.958,₹75–100L
Tesla,Model Y,2026,Base,111102.01,57.5,194.0,273.3,7.1,140.0,805.0,733.0,FWD,5,Sedan,30.0,1767.0,5,2,US,Luxury,457566,3.79,5,9277017.83,161339.44,0.2091,3.3739,20.9119,₹75–100L
Tesla,Cybertruck,2026,Base,121350.3,82.3,289.0,226.3,7.42,130.0,930.0,825.0,AWD,5,Truck,72.6,2759.0,5,3,US,Luxury,144677,3.86,6,10132750.05,123119.68,0.2852,3.5115,28.5214,₹100–150L
BYD,Qin,2025,Base,43868.55,77.3,290.0,123.0,5.63,165.0,450.0,423.0,FWD,5,Coupe,35.5,1761.0,5,1,China,Mid-range,211394,3.74,3,3663023.92,47387.11,0.7917,3.7516,79.1696,₹25–50L
Kia,EV9,2026,Long Range,37918.56,79.9,304.0,103.8,4.71,182.0,284.0,216.0,AWD,5,SUV,42.9,2341.0,5,0,South Korea,Mid-range,92798,3.66,3,3166199.76,39627.03,0.9601,3.8048,96.0142,₹25–50L
Volkswagen,ID.5,2023,Premium,87378.56,46.6,155.0,73.9,5.68,162.0,1000.0,866.0,AWD,7,Truck,70.7,2532.0,3,0,Germany,Premium,280958,3.26,5,7296109.76,156568.88,0.2124,3.3262,21.2442,₹50–75L
Volkswagen,ID. Aero,2025,Long Range,98049.57,79.3,271.0,109.3,5.08,178.0,1000.0,925.0,FWD,7,Truck,78.8,2544.0,4,0,Germany,Premium,232457,3.53,3,8187139.1,103242.61,0.331,3.4174,33.1007,₹75–100L
Audi,Q6 e-tron,2025,Base,91070.12,66.4,224.0,134.5,7.09,152.0,640.0,596.0,AWD,5,Sedan,21.5,1500.0,3,1,Germany,Premium,69627,3.71,7,7604355.02,114523.42,0.2946,3.3735,29.4568,₹75–100L
BYD,Dolphin,2026,Base,33590.41,74.1,252.0,145.1,7.81,140.0,320.0,319.0,AWD,7,Truck,59.1,2166.0,4,1,China,Budget,225478,3.58,5,2804799.24,37851.54,0.8985,3.4008,89.846,₹25–50L
Hyundai,Ioniq 5,2023,Long Range,51553.1,75.3,265.0,102.7,5.85,174.0,530.0,474.0,RWD,5,Coupe,25.8,1500.0,5,0,South Korea,Mid-range,110986,3.76,4,4304683.85,57167.12,0.6156,3.5193,61.5609,₹25–50L
Ford,Mustang Mach-E,2025,Base,31921.1,77.2,284.0,63.3,5.86,172.0,250.0,221.0,AWD,5,Coupe,16.0,1500.0,5,2,US,Budget,21264,3.57,5,2665411.85,34526.06,1.0655,3.6788,106.5501,₹25–50L
Volkswagen,ID.4,2024,Long Range,67460.11,97.9,324.0,92.4,4.29,180.0,681.0,643.0,FWD,7,Truck,78.7,2596.0,4,0,Germany,Premium,219503,3.66,3,5632919.18,57537.48,0.5752,3.3095,57.519,₹50–75L
BMW,i7,2025,Standard,56108.72,78.4,280.0,142.2,5.11,178.0,253.0,262.0,AWD,5,Hatchback,24.8,1729.0,5,1,Germany,Mid-range,32771,3.55,5,4685078.12,59758.65,0.5976,3.5714,59.7642,₹25–50L
Mercedes,EQS,2024,Performance,175695.73,119.3,421.0,160.5,2.98,200.0,1000.0,867.0,AWD,5,Truck,71.5,2775.0,4,1,Germany,Luxury,47072,4.14,7,14670593.46,122972.28,0.287,3.5289,28.6969,₹100–150L
Toyota,bZ Compact SUV,2020,Base,47569.79,41.5,160.0,86.2,7.8,133.0,419.0,383.0,RWD,5,SUV,43.1,1792.0,4,0,Japan,Mid-range,28709,3.17,4,3972077.46,95712.71,0.4028,3.8554,40.2812,₹25–50L
Tesla,Cybertruck,2024,Performance,68394.93,94.8,315.0,254.1,4.15,179.0,520.0,388.0,RWD,5,Truck,64.6,2391.0,5,2,US,Premium,230110,4.0,5,5710976.65,60242.37,0.5516,3.3228,55.1569,₹50–75L
Rivian,R1T,2025,Standard,78693.27,63.6,243.0,115.4,5.92,171.0,624.0,547.0,RWD,4,Truck,67.1,2866.0,4,0,US,Premium,14022,3.14,6,6570888.04,103315.85,0.3698,3.8208,36.9813,₹50–75L
Hyundai,Ioniq 6,2025,Standard,46340.48,70.6,240.0,88.7,7.3,133.0,473.0,446.0,FWD,5,Sedan,18.5,1585.0,3,0,South Korea,Mid-range,91894,3.21,4,3869430.08,54807.79,0.6202,3.3994,62.0246,₹25–50L
BYD,Seagull,2021,Standard,73231.02,46.1,166.0,143.1,7.63,141.0,844.0,798.0,AWD,5,Sedan,24.9,1547.0,4,1,China,Premium,227938,3.21,4,6114790.17,132641.87,0.2715,3.6009,27.1473,₹50–75L
Hyundai,Ioniq 6,2025,Standard,70402.19,49.9,170.0,108.8,7.04,148.0,866.0,746.0,FWD,5,Sedan,21.9,1500.0,5,1,South Korea,Premium,69074,3.3,4,5878582.86,117807.27,0.2892,3.4068,28.9185,₹50–75L
Polestar,3,2024,Premium,98223.61,58.4,219.0,103.2,7.31,147.0,701.0,672.0,RWD,5,Coupe,27.3,1500.0,4,2,Sweden,Premium,3904,3.65,4,8201671.44,140439.58,0.267,3.75,26.7019,₹75–100L
Hyundai,Ioniq,2024,Premium,39646.49,41.0,150.0,94.3,5.91,174.0,271.0,236.0,AWD,5,Hatchback,31.2,1595.0,5,0,South Korea,Mid-range,129173,3.0,3,3310481.92,80743.46,0.4531,3.6585,45.3106,₹25–50L
BYD,Yuan Plus,2023,Standard,70732.36,45.3,151.0,118.3,5.92,161.0,801.0,724.0,FWD,5,Hatchback,38.9,1764.0,4,1,China,Premium,198624,3.14,3,5906152.06,130378.63,0.2557,3.3333,25.5666,₹50–75L
BMW,i5,2023,Standard,106048.4,47.8,195.0,87.0,6.06,167.0,866.0,827.0,AWD,5,Hatchback,16.4,1511.0,5,1,Germany,Luxury,52016,3.3,5,8855041.4,185251.91,0.2202,4.0795,22.0214,₹75–100L
BYD,Seagull,2026,Standard,75687.78,57.9,223.0,77.4,7.1,136.0,911.0,866.0,AWD,7,Sedan,31.9,1545.0,3,2,China,Premium,230330,3.4,4,6319929.63,109152.5,0.3529,3.8515,35.2852,₹50–75L
Tesla,Model 3,2024,Premium,164903.76,51.1,184.0,261.5,6.48,159.0,1000.0,922.0,AWD,5,Coupe,30.2,1747.0,3,2,US,Luxury,238934,3.62,5,13769463.96,269461.13,0.1336,3.6008,13.3629,₹100–150L
Tesla,Cybertruck,2025,Premium,104330.24,50.1,185.0,261.5,7.04,145.0,792.0,738.0,RWD,7,Truck,79.1,2220.0,4,2,US,Luxury,241443,3.82,6,8711575.04,173883.73,0.2124,3.6926,21.2361,₹75–100L
Tesla,Model 3,2022,Premium,74667.63,60.5,201.0,228.2,6.62,159.0,552.0,490.0,AWD,5,Truck,78.2,2148.0,5,2,US,Premium,245609,3.71,4,6234747.1,103053.67,0.3224,3.3223,32.2387,₹50–75L
Tesla,Model S,2024,Standard,132957.6,57.4,197.0,313.0,5.66,168.0,1000.0,900.0,RWD,7,Sedan,24.8,1603.0,5,2,US,Luxury,220563,3.46,5,11101959.6,193413.93,0.1774,3.4321,17.7446,₹100–150L
Tesla,Model Y,2025,Performance,146521.88,91.7,343.0,226.2,3.18,200.0,1000.0,863.0,AWD,5,SUV,58.9,1942.0,4,2,US,Luxury,406719,4.12,5,12234576.98,133419.6,0.2804,3.7405,28.0353,₹100–150L
BMW,i7,2024,Long Range,126323.43,92.6,337.0,134.2,4.57,190.0,1000.0,906.0,FWD,7,Hatchback,38.1,1500.0,5,1,Germany,Luxury,51591,3.87,6,10548006.4,113909.36,0.3195,3.6393,31.9492,₹100–150L
Tesla,Model X,2025,Base,42945.26,77.0,266.0,309.9,6.79,148.0,248.0,200.0,AWD,7,SUV,66.1,1861.0,5,3,US,Mid-range,202664,3.79,5,3585929.21,46570.51,0.7418,3.4545,74.1788,₹25–50L
BYD,Dolphin,2024,Long Range,38014.51,86.6,325.0,141.9,4.79,169.0,383.0,328.0,AWD,7,SUV,45.2,1687.0,5,0,China,Mid-range,241420,3.72,3,3174211.58,36653.71,1.0239,3.7529,102.3876,₹25–50L
Audi,e-tron,2025,Standard,109441.61,51.1,161.0,100.9,7.02,151.0,876.0,844.0,AWD,5,Hatchback,21.6,1589.0,4,1,Germany,Luxury,27623,3.34,7,9138374.44,178833.16,0.1762,3.1507,17.618,₹75–100L
Hyundai,Ioniq 6,2026,Long Range,93179.93,102.1,351.0,126.1,4.97,181.0,1000.0,892.0,FWD,5,Sedan,16.2,1500.0,4,1,South Korea,Premium,64997,3.42,4,7780524.15,76204.94,0.4511,3.4378,45.1126,₹75–100L
BMW,i5,2025,Premium,79696.27,76.5,251.0,103.6,6.21,161.0,550.0,514.0,AWD,5,Truck,60.0,2846.0,5,1,Germany,Premium,32509,3.24,5,6654638.54,86988.74,0.3772,3.281,37.7181,₹50–75L
Tesla,Model Y,2025,Standard,85878.17,49.2,188.0,238.9,6.03,164.0,605.0,592.0,RWD,7,Sedan,29.6,2009.0,4,2,US,Premium,499717,3.42,5,7170827.2,145748.52,0.2622,3.8211,26.2173,₹50–75L
Tesla,Model Y,2021,Standard,49771.04,62.5,225.0,212.5,5.56,175.0,317.0,261.0,FWD,5,Coupe,34.2,1578.0,3,3,US,Mid-range,483023,3.69,5,4155881.84,66494.11,0.5414,3.6,54.1401,₹25–50L
Tesla,Model 3,2025,Premium,60544.17,81.6,287.0,247.1,5.81,158.0,384.0,366.0,RWD,5,Truck,51.2,2538.0,5,2,US,Mid-range,170776,3.98,6,5055438.2,61953.9,0.5677,3.5172,56.7705,₹50–75L
Tesla,Model S,2026,Long Range,125990.82,75.3,272.0,209.9,4.94,171.0,955.0,881.0,FWD,7,Hatchback,17.1,1589.0,5,2,US,Luxury,200607,3.97,4,10520233.47,139710.94,0.2585,3.6122,25.8549,₹100–150L
BYD,Seagull,2020,Long Range,48719.93,95.3,342.0,125.3,5.39,166.0,449.0,397.0,FWD,5,Coupe,30.4,1511.0,4,0,China,Mid-range,158941,3.72,4,4068114.16,42687.45,0.8407,3.5887,84.0684,₹25–50L
Tesla,Model X,2022,Performance,66277.97,97.7,340.0,285.5,3.71,189.0,445.0,394.0,RWD,5,Truck,59.1,2882.0,3,2,US,Premium,108652,4.11,4,5534210.5,56644.94,0.6144,3.48,61.436,₹50–75L
Tesla,Model Y,2025,Standard,122990.85,43.1,177.0,222.1,7.3,132.0,909.0,826.0,AWD,5,Hatchback,25.4,1500.0,4,2,US,Luxury,444103,3.49,5,10269735.98,238276.94,0.1724,4.1067,17.2351,₹100–150L
Tesla,Model 3,2025,Standard,77509.32,78.6,256.0,347.7,7.73,130.0,522.0,442.0,RWD,7,Hatchback,18.0,1500.0,3,2,US,Premium,156028,3.89,4,6472028.22,82341.33,0.3955,3.257,39.5548,₹50–75L
Hyundai,Ioniq 5,2025,Base,42592.08,73.4,215.0,90.7,6.29,154.0,432.0,362.0,FWD,5,Truck,54.8,2777.0,4,0,South Korea,Mid-range,124929,3.43,4,3556438.68,48452.84,0.6045,2.9292,60.4537,₹25–50L
BYD,Max,2026,Standard,42445.79,53.0,173.0,61.8,5.53,167.0,444.0,446.0,AWD,7,Coupe,34.2,1642.0,4,1,China,Mid-range,217748,3.05,5,3544223.46,66872.14,0.4881,3.2642,48.8118,₹25–50L
Volkswagen,ID. Aero,2023,Performance,44275.35,90.4,308.0,211.5,4.49,180.0,363.0,288.0,AWD,7,Hatchback,36.4,1606.0,5,2,Germany,Mid-range,209760,3.52,3,3696991.72,40895.93,0.8331,3.4071,83.311,₹25–50L
Hyundai,Ioniq 6,2025,Performance,107109.36,119.6,434.0,239.3,2.87,200.0,1000.0,906.0,AWD,5,SUV,68.7,2249.0,5,1,South Korea,Luxury,92278,3.9,3,8943631.56,74779.53,0.4853,3.6288,48.5261,₹75–100L
GM/Chevrolet,Bolt EV,2023,Base,38369.91,46.8,177.0,81.7,6.83,139.0,363.0,331.0,FWD,7,SUV,57.5,2174.0,5,0,US,Mid-range,19280,3.34,3,3203887.49,68459.13,0.5525,3.7821,55.2454,₹25–50L
Tesla,Model S,2023,Long Range,82872.71,88.9,322.0,293.4,4.31,182.0,559.0,488.0,AWD,7,Coupe,38.0,1852.0,5,2,US,Premium,233601,3.61,5,6919871.28,77838.82,0.4653,3.622,46.5327,₹50–75L
Ford,Mustang Mach-E,2024,Premium,96727.35,71.4,233.0,128.6,7.7,140.0,1000.0,862.0,AWD,7,Hatchback,20.7,1832.0,3,1,US,Premium,75873,3.24,5,8076733.72,113119.52,0.2885,3.2633,28.8483,₹75–100L
BMW,i7,2024,Base,84385.88,47.3,177.0,108.6,7.35,136.0,601.0,552.0,FWD,7,Sedan,23.5,1500.0,5,1,Germany,Premium,74771,3.09,6,7046220.98,148968.73,0.2512,3.7421,25.1198,₹50–75L
Tesla,Model Y,2025,Long Range,33796.25,90.1,295.0,250.6,4.06,183.0,215.0,200.0,RWD,5,SUV,43.0,2400.0,5,2,US,Budget,476519,3.86,5,2821986.88,31320.61,1.0454,3.2741,104.5363,₹25–50L
Audi,e-tron GT,2025,Base,67634.79,79.9,278.0,90.2,5.56,167.0,396.0,388.0,FWD,5,Sedan,24.9,1712.0,4,2,Germany,Premium,62437,3.52,8,5647504.96,70682.16,0.4923,3.4793,49.2253,₹50–75L
Rivian,R2,2025,Long Range,105675.37,104.0,386.0,102.2,4.64,173.0,1000.0,866.0,AWD,5,SUV,63.1,2353.0,5,0,US,Luxury,25421,3.88,4,8823893.4,84845.13,0.4374,3.7115,43.7449,₹75–100L
Tesla,Model X,2023,Standard,43959.45,63.9,211.0,207.5,6.67,148.0,283.0,251.0,FWD,5,SUV,62.7,1838.0,3,2,US,Mid-range,124556,3.97,4,3670614.08,57443.1,0.5748,3.302,57.4836,₹25–50L
BYD,Dolphin,2025,Base,19398.19,79.6,255.0,104.3,7.87,125.0,165.0,200.0,FWD,5,Van,71.9,1500.0,4,0,China,Budget,165718,3.4,4,1619748.86,20348.6,1.5743,3.2035,157.4318,<₹25L
Ford,Explorer EV,2026,Base,55828.42,47.5,163.0,69.0,5.68,167.0,570.0,527.0,RWD,5,Hatchback,22.3,1668.0,5,1,US,Mid-range,64449,3.39,5,4661673.07,98140.49,0.3497,3.4316,34.966,₹25–50L
GM/Chevrolet,Blazer EV,2025,Standard,55791.9,43.1,150.0,123.6,6.64,150.0,646.0,596.0,FWD,7,SUV,35.3,1903.0,5,2,US,Mid-range,16439,3.05,4,4658623.65,108088.72,0.322,3.4803,32.1984,₹25–50L
Tesla,Model 3,2025,Premium,151283.19,58.3,189.0,340.8,6.99,152.0,1000.0,918.0,AWD,5,Sedan,36.7,1557.0,5,2,US,Luxury,203592,3.49,5,12632146.36,216674.89,0.1496,3.2419,14.9618,₹100–150L
BYD,Qin,2024,Performance,54577.89,119.6,427.0,156.1,4.31,190.0,567.0,531.0,AWD,5,Hatchback,27.9,1638.0,5,0,China,Mid-range,139526,3.84,5,4557253.82,38104.13,0.937,3.5702,93.6968,₹25–50L
Volkswagen,ID. Buzz,2025,Standard,55247.47,53.5,199.0,114.4,5.73,170.0,459.0,410.0,AWD,5,Sedan,34.4,1500.0,5,1,Germany,Mid-range,220284,3.29,4,4613163.74,86227.36,0.4314,3.7196,43.1374,₹25–50L
Hyundai,Ioniq 6,2025,Base,37922.42,50.5,150.0,65.4,6.36,155.0,325.0,323.0,RWD,5,SUV,68.6,1992.0,3,0,South Korea,Mid-range,75225,3.06,5,3166522.07,62703.41,0.4737,2.9703,47.3706,₹25–50L
Kia,EV9,2023,Base,65534.18,84.3,248.0,57.6,5.04,176.0,708.0,642.0,FWD,5,SUV,56.5,1815.0,4,1,South Korea,Premium,115671,3.43,4,5472104.03,64912.27,0.4532,2.9419,45.3208,₹50–75L
Volkswagen,ID.3,2026,Standard,36867.62,42.0,175.0,63.1,6.92,148.0,259.0,233.0,RWD,7,Van,67.1,1542.0,5,1,Germany,Mid-range,299992,3.38,4,3078446.27,73296.34,0.5685,4.1667,56.8469,₹25–50L
Hyundai,Ioniq 6,2023,Standard,66319.66,72.9,225.0,110.9,7.63,134.0,766.0,617.0,RWD,7,Van,77.2,1709.0,4,0,South Korea,Premium,139935,3.2,3,5537691.61,75962.85,0.4063,3.0864,40.6306,₹50–75L
GM/Chevrolet,Blazer EV,2026,Standard,47749.35,64.3,253.0,114.0,5.82,170.0,522.0,467.0,RWD,7,Truck,71.9,2378.0,5,0,US,Mid-range,11602,3.26,4,3987070.72,62007.32,0.6346,3.9347,63.4551,₹25–50L
Tesla,Model S,2025,Standard,75212.51,79.3,260.0,293.3,6.39,154.0,528.0,494.0,FWD,7,Sedan,37.8,1513.0,5,3,US,Premium,148099,3.93,6,6280244.58,79196.02,0.414,3.2787,41.3997,₹50–75L
BYD,Atto 3,2025,Long Range,87159.36,101.7,351.0,140.4,4.35,183.0,986.0,946.0,AWD,5,Truck,68.2,2527.0,3,1,China,Premium,204628,3.58,3,7277806.56,71561.52,0.4823,3.4513,48.2288,₹50–75L
