brand,model,year,variant,horsepower,torque_nm,acceleration_0_60_mph,top_speed_mph,price_inr,market_segment,power_to_price
Tesla,Model Y,2024,Performance,1000.0,942.0,3.11,200.0,11802633.98,Luxury,84.7269
BMW,i3,2023,Long Range,1000.0,874.0,4.43,177.0,11192339.16,Luxury,89.3468
Hyundai,Ioniq 5,2024,Premium,1000.0,898.0,5.97,162.0,6759234.82,Premium,147.9457
Tesla,Cybertruck,2022,Performance,1000.0,875.0,3.88,186.0,14205714.72,Luxury,70.3942
Volkswagen,ID.3,2024,Premium,1000.0,918.0,7.9,133.0,8249097.76,Premium,121.2254
Tesla,Cybertruck,2025,Performance,1000.0,903.0,3.46,200.0,13908827.13,Luxury,71.8968
Volkswagen,ID. Aero,2026,Standard,1000.0,837.0,7.31,145.0,7209356.6,Premium,138.7086
Rivian,R1S,2024,Performance,1000.0,911.0,3.41,194.0,9859385.24,Luxury,101.4262
Kia,Niro EV,2022,Premium,1000.0,944.0,6.81,152.0,7830081.4,Premium,127.7126
Audi,e-tron GT,2022,Premium,1000.0,941.0,5.31,168.0,11492269.5,Luxury,87.015
Kia,Picanto EV,2024,Performance,1000.0,892.0,3.07,200.0,8830882.35,Luxury,113.239
Rivian,R2,2025,Performance,1000.0,922.0,3.79,199.0,9842233.51,Luxury,101.603
Tesla,Model 3,2024,Premium,1000.0,937.0,5.34,172.0,12762556.66,Luxury,78.3542
BMW,i3,2026,Performance,1000.0,922.0,4.17,187.0,12391963.62,Luxury,80.6975
Ford,Explorer EV,2026,Premium,1000.0,909.0,6.12,167.0,8181750.0,Premium,122.2232
Hyundai,Ioniq 6,2025,Premium,1000.0,907.0,7.91,135.0,8429143.8,Luxury,118.636
Tesla,Cybertruck,2025,Premium,1000.0,886.0,7.93,132.0,14240742.14,Luxury,70.2211
Toyota,bZ4X,2024,Performance,1000.0,897.0,2.58,200.0,7866516.63,Premium,127.1211
BMW,i5,2021,Premium,1000.0,950.0,7.84,131.0,11608212.58,Luxury,86.1459
Mercedes,EQE,2021,Performance,1000.0,842.0,4.02,194.0,13796988.9,Luxury,72.4796
GM/Chevrolet,Blazer EV,2025,Premium,1000.0,881.0,6.97,148.0,6754816.84,Premium,148.0425
Kia,Niro EV,2026,Performance,1000.0,949.0,3.44,194.0,7601279.72,Premium,131.5568
BYD,Seagull,2026,Performance,1000.0,922.0,3.84,181.0,7996053.52,Premium,125.0617
Tesla,Model 3,2026,Performance,1000.0,883.0,3.36,195.0,12281203.38,Luxury,81.4252
Audi,Q4 e-tron,2026,Long Range,1000.0,872.0,5.46,173.0,12188107.56,Luxury,82.0472
BMW,i3,2025,Premium,1000.0,895.0,5.26,171.0,10685496.67,Luxury,93.5848
BYD,Atto 3,2021,Performance,1000.0,900.0,3.28,193.0,7657962.02,Premium,130.583
BMW,i7,2026,Premium,1000.0,906.0,5.05,168.0,10499834.42,Luxury,95.2396
BYD,Dolphin,2024,Performance,1000.0,954.0,3.26,188.0,9093904.01,Luxury,109.9638
Tesla,Model S,2022,Premium,1000.0,907.0,6.55,154.0,13651648.8,Luxury,73.2512
BMW,i4,2023,Performance,1000.0,878.0,2.51,200.0,10937136.44,Luxury,91.4316
Volkswagen,ID.3,2025,Performance,1000.0,916.0,2.63,200.0,7361243.94,Premium,135.8466
Kia,Niro EV,2026,Premium,1000.0,918.0,5.83,165.0,8208049.16,Premium,121.8316
Toyota,bZ4X,2025,Long Range,1000.0,840.0,5.04,180.0,6481062.08,Premium,154.2957
BYD,Seagull,2024,Performance,1000.0,869.0,3.76,195.0,9793038.65,Luxury,102.1134
Ford,Explorer EV,2025,Performance,1000.0,873.0,2.58,200.0,8871657.9,Luxury,112.7185
Kia,Niro EV,2026,Performance,1000.0,881.0,2.89,200.0,9228078.48,Luxury,108.3649
Audi,Q4 e-tron,2026,Performance,1000.0,897.0,3.82,196.0,13649821.82,Luxury,73.261
Xiaomi,SU7,2024,Performance,1000.0,872.0,3.52,194.0,9658676.3,Luxury,103.5339
Volkswagen,ID.4,2024,Performance,1000.0,921.0,4.29,189.0,9311190.21,Luxury,107.3977
Rivian,R1S,2026,Premium,1000.0,896.0,7.01,146.0,9246712.35,Luxury,108.1465
BYD,Atto 3,2025,Long Range,1000.0,894.0,4.56,177.0,8275477.92,Premium,120.8389
Tesla,Cybertruck,2022,Premium,1000.0,884.0,7.79,135.0,12939380.44,Luxury,77.2835
Mercedes,EQC,2026,Premium,1000.0,939.0,6.41,153.0,12641459.96,Luxury,79.1048
Rivian,R2,2026,Long Range,1000.0,952.0,5.61,160.0,8230007.16,Premium,121.5066
Kia,Niro EV,2025,Premium,1000.0,911.0,5.25,165.0,9065423.82,Luxury,110.3092
Rivian,R3,2025,Performance,1000.0,857.0,3.34,197.0,9115228.24,Luxury,109.7065
Mercedes,GLE EV,2025,Premium,1000.0,889.0,5.44,164.0,13219455.3,Luxury,75.6461
Tesla,Model Y,2026,Standard,1000.0,923.0,6.65,152.0,11008500.56,Luxury,90.8389
Toyota,bZ Compact SUV,2025,Long Range,1000.0,868.0,5.79,165.0,7029507.62,Premium,142.2575
Hyundai,Ioniq,2025,Performance,1000.0,888.0,4.44,187.0,7966083.7,Premium,125.5322
Volkswagen,ID.5,2022,Premium,1000.0,914.0,6.59,147.0,7562369.55,Premium,132.2337
Tesla,Model 3,2024,Premium,1000.0,906.0,5.49,180.0,14484531.24,Luxury,69.0392
Kia,EV9,2025,Premium,1000.0,919.0,7.65,124.0,8643289.57,Luxury,115.6967
Tesla,Model S,2025,Premium,1000.0,851.0,7.64,132.0,13529708.74,Luxury,73.9114
Hyundai,Ioniq 5,2026,Premium,1000.0,867.0,5.55,171.0,7258708.44,Premium,137.7656
BYD,Atto 3,2025,Performance,1000.0,907.0,3.93,190.0,7924159.18,Premium,126.1964
BYD,Max,2023,Long Range,1000.0,900.0,5.55,171.0,8337481.68,Premium,119.9403
Volkswagen,ID. Aero,2025,Long Range,1000.0,910.0,4.2,194.0,7697272.15,Premium,129.9162
Ford,F-150 Lightning,2026,Premium,1000.0,887.0,5.0,176.0,7991304.04,Premium,125.136
BYD,Atto 3,2026,Long Range,1000.0,908.0,5.22,172.0,8733590.65,Luxury,114.5004
GM/Chevrolet,Equinox EV,2026,Premium,1000.0,849.0,7.51,145.0,6804526.06,Premium,146.961
BYD,Atto 3,2026,Performance,1000.0,912.0,2.97,200.0,9194166.63,Luxury,108.7646
BYD,Max,2026,Long Range,1000.0,871.0,5.7,159.0,7739936.48,Premium,129.2
BMW,iX,2021,Performance,1000.0,890.0,3.68,194.0,10226933.88,Luxury,97.781
Kia,Picanto EV,2023,Premium,1000.0,845.0,5.52,166.0,7982473.08,Premium,125.2745
Volkswagen,ID.5,2025,Performance,1000.0,912.0,3.48,200.0,8133134.64,Premium,122.9538
Tesla,Model X,2026,Long Range,1000.0,871.0,4.61,176.0,11917632.69,Luxury,83.9093
BMW,i7,2025,Performance,1000.0,908.0,3.16,199.0,9489450.18,Luxury,105.3802
Hyundai,i30,2025,Long Range,1000.0,882.0,5.8,171.0,6766252.16,Premium,147.7923
Volkswagen,ID. Aero,2025,Long Range,1000.0,875.0,5.42,167.0,8102603.7,Premium,123.4171
Volkswagen,ID. Aero,2025,Long Range,1000.0,854.0,5.33,174.0,8581437.78,Luxury,116.5306
Mercedes,GLE EV,2024,Performance,1000.0,924.0,4.48,187.0,14939132.8,Luxury,66.9383
GM/Chevrolet,Silverado EV,2024,Performance,1000.0,943.0,2.81,200.0,5986168.44,Premium,167.0518
Rivian,R1S,2026,Standard,1000.0,898.0,6.22,150.0,7271049.74,Premium,137.5317
BMW,i7,2022,Long Range,1000.0,863.0,4.94,167.0,9635411.52,Luxury,103.7838
Tesla,Cybertruck,2025,Premium,1000.0,885.0,6.64,153.0,13419421.94,Luxury,74.5189
Kia,EV6,2025,Performance,1000.0,911.0,3.71,187.0,8962490.04,Luxury,111.5761
Rivian,R2,2025,Performance,1000.0,875.0,3.37,200.0,8709483.36,Luxury,114.8174
Audi,e-tron,2024,Long Range,1000.0,858.0,5.61,163.0,10865987.76,Luxury,92.0303
Tesla,Model 3,2026,Long Range,1000.0,855.0,4.28,186.0,12780262.84,Luxury,78.2457
Tesla,Model S,2025,Performance,1000.0,854.0,3.77,188.0,11317660.14,Luxury,88.3575
Tesla,Cybertruck,2022,Performance,1000.0,924.0,2.54,200.0,13486377.25,Luxury,74.1489
BMW,iX,2026,Standard,1000.0,922.0,5.59,167.0,9296695.44,Luxury,107.5651
Tesla,Cybertruck,2024,Performance,1000.0,912.0,4.35,193.0,15778552.45,Luxury,63.3772
Kia,Niro EV,2021,Premium,1000.0,846.0,5.45,170.0,8461338.06,Luxury,118.1846
Tesla,Model 3,2025,Premium,1000.0,937.0,5.02,170.0,12906506.49,Luxury,77.4803
BYD,Atto 3,2022,Premium,1000.0,899.0,7.71,137.0,8970913.52,Luxury,111.4714
Volkswagen,ID.4,2025,Performance,1000.0,891.0,3.02,199.0,7638904.82,Premium,130.9088
Hyundai,Ioniq 5,2022,Performance,1000.0,888.0,3.79,197.0,6824058.38,Premium,146.5404
Hyundai,Kona Electric,2024,Long Range,1000.0,923.0,4.7,179.0,7596395.8,Premium,131.6414
Tesla,Model 3,2025,Premium,1000.0,918.0,6.99,152.0,12632146.36,Luxury,79.1631
Rivian,R2,2025,Long Range,1000.0,866.0,4.64,173.0,8823893.4,Luxury,113.3287
Ford,Mustang Mach-E,2024,Premium,1000.0,862.0,7.7,140.0,8076733.72,Premium,123.8124
Hyundai,Ioniq 6,2025,Performance,1000.0,906.0,2.87,200.0,8943631.56,Luxury,111.8114
Rivian,R1S,2024,Long Range,1000.0,900.0,5.14,169.0,8269871.73,Premium,120.9209
Ford,E-Transit,2024,Performance,1000.0,873.0,4.19,181.0,8191710.72,Premium,122.0746
BYD,Leaf 50X,2023,Long Range,1000.0,892.0,5.21,177.0,8363130.38,Luxury,119.5725
Hyundai,Ioniq 6,2026,Long Range,1000.0,892.0,4.97,181.0,7780524.15,Premium,128.526
BMW,i7,2024,Long Range,1000.0,906.0,4.57,190.0,10548006.4,Luxury,94.8046
Tesla,Model Y,2025,Performance,1000.0,863.0,3.18,200.0,12234576.98,Luxury,81.7356
Tesla,Model S,2024,Standard,1000.0,900.0,5.66,168.0,11101959.6,Luxury,90.0742
Tesla,Model 3,2024,Premium,1000.0,922.0,6.48,159.0,13769463.96,Luxury,72.6245
Mercedes,EQS,2024,Performance,1000.0,867.0,2.98,200.0,14670593.46,Luxury,68.1636
Volkswagen,ID. Aero,2025,Long Range,1000.0,925.0,5.08,178.0,8187139.1,Premium,122.1428
Volkswagen,ID.5,2023,Premium,1000.0,866.0,5.68,162.0,7296109.76,Premium,137.0593
BYD,Max,2026,Performance,1000.0,928.0,2.7,200.0,7579001.08,Premium,131.9435
GM/Chevrolet,Equinox EV,2025,Performance,1000.0,888.0,3.06,200.0,6940298.72,Premium,144.086
Kia,Niro EV,2023,Premium,1000.0,965.0,7.25,146.0,8057167.17,Premium,124.1131
Hyundai,Ioniq 6,2024,Long Range,1000.0,924.0,5.49,169.0,7076771.12,Premium,141.3074
BMW,i7,2026,Performance,1000.0,909.0,3.87,190.0,9767363.24,Luxury,102.3818
Volkswagen,ID.3,2025,Premium,1000.0,888.0,6.75,149.0,7858247.62,Premium,127.2548
Kia,Sportage EV,2023,Premium,1000.0,940.0,5.56,163.0,8522899.28,Luxury,117.331
Volkswagen,ID.4,2024,Premium,1000.0,941.0,5.06,169.0,7766722.44,Premium,128.7544
BYD,Atto 3,2020,Performance,1000.0,913.0,3.62,194.0,8582777.12,Luxury,116.5124
BYD,Qin,2024,Performance,1000.0,907.0,2.95,200.0,8640610.9,Luxury,115.7326
Mercedes,EQC,2024,Performance,1000.0,941.0,3.4,200.0,14019549.8,Luxury,71.329
Kia,Sportage EV,2024,Long Range,1000.0,907.0,5.55,168.0,8270523.03,Premium,120.9113
Xiaomi,SU7,2024,Performance,1000.0,937.0,3.7,195.0,8565771.52,Luxury,116.7437
Fisker,Ocean,2024,Premium,1000.0,845.0,6.04,153.0,10134808.32,Luxury,98.6698
Porsche,Taycan,2023,Performance,1000.0,936.0,3.9,190.0,21210426.18,Luxury,47.1466
GM/Chevrolet,Equinox EV,2025,Premium,1000.0,923.0,5.45,169.0,7601397.45,Premium,131.5548
BMW,i5,2023,Premium,1000.0,942.0,6.9,137.0,11768383.96,Luxury,84.9734
BYD,Qin,2025,Performance,1000.0,873.0,2.78,200.0,10230242.14,Luxury,97.7494
GM/Chevrolet,Silverado EV,2024,Performance,1000.0,892.0,3.55,197.0,6200958.83,Premium,161.2654
Fisker,Ocean,2024,Long Range,1000.0,895.0,4.86,170.0,9463189.44,Luxury,105.6726
BYD,Max,2025,Standard,1000.0,911.0,5.25,174.0,7205108.12,Premium,138.7904
Tesla,Model X,2026,Performance,1000.0,866.0,4.37,186.0,13946846.35,Luxury,71.7008
BYD,Max,2025,Premium,1000.0,890.0,5.5,170.0,8707533.64,Luxury,114.8431
Volkswagen,ID.3,2026,Long Range,1000.0,867.0,4.44,188.0,7735141.9,Premium,129.2801
BMW,i4,2025,Premium,1000.0,842.0,6.71,152.0,9505361.94,Luxury,105.2038
BYD,Max,2025,Performance,1000.0,876.0,2.99,200.0,7751296.65,Premium,129.0107
Volkswagen,ID. Aero,2025,Premium,1000.0,885.0,6.68,143.0,7463488.85,Premium,133.9856
Fisker,Ocean,2025,Premium,1000.0,877.0,6.37,168.0,11775754.5,Luxury,84.9202
Mercedes,EQC,2025,Long Range,1000.0,889.0,4.35,185.0,13589716.85,Luxury,73.5851
Tesla,Model S,2023,Premium,1000.0,907.0,7.05,142.0,11494576.6,Luxury,86.9975
Tesla,Model Y,2025,Long Range,1000.0,875.0,5.56,163.0,13452888.74,Luxury,74.3335
Volkswagen,ID.4,2024,Premium,1000.0,911.0,6.55,150.0,9549466.64,Luxury,104.7179
GM/Chevrolet,Bolt EV,2025,Premium,1000.0,850.0,6.96,145.0,7778192.0,Premium,128.5646
Porsche,Taycan,2026,Long Range,1000.0,915.0,5.9,161.0,18431536.16,Luxury,54.2548
Toyota,bZ Compact SUV,2024,Long Range,1000.0,858.0,4.57,170.0,7307554.27,Premium,136.8447
Volkswagen,ID.4,2022,Performance,1000.0,886.0,4.12,189.0,8555967.78,Luxury,116.8775
Ford,Mustang Mach-E,2024,Performance,1000.0,917.0,4.22,183.0,7743368.32,Premium,129.1428
Tesla,Model X,2026,Premium,1000.0,875.0,5.07,175.0,11662088.46,Luxury,85.7479
BMW,i3,2023,Long Range,1000.0,935.0,4.21,190.0,10242586.78,Luxury,97.6316
Mercedes,EQG,2025,Performance,1000.0,919.0,2.84,200.0,17602795.32,Luxury,56.8092
Tesla,Model 3,2022,Long Range,1000.0,883.0,5.64,165.0,12030669.14,Luxury,83.1209
Volkswagen,ID. Buzz,2023,Performance,1000.0,895.0,3.04,195.0,8757546.8,Luxury,114.1872
GM/Chevrolet,Bolt EUV,2023,Performance,999.0,887.0,3.22,200.0,6166827.37,Premium,161.9958
BMW,i3,2025,Premium,997.0,904.0,6.84,146.0,9453931.79,Luxury,105.4588
Tesla,Model 3,2025,Standard,997.0,944.0,7.33,144.0,11030469.4,Luxury,90.386
Tesla,Model Y,2025,Performance,997.0,903.0,4.02,196.0,11337680.1,Luxury,87.9369
GM/Chevrolet,Blazer EV,2025,Standard,995.0,902.0,5.15,173.0,5896277.35,Premium,168.7505
Tesla,Model S,2025,Premium,995.0,876.0,5.97,167.0,10993986.58,Luxury,90.504
Tesla,Model 3,2024,Performance,995.0,917.0,3.06,200.0,11608610.88,Luxury,85.7122
Tesla,Model X,2025,Premium,994.0,865.0,5.38,161.0,11172951.3,Luxury,88.9649
GM/Chevrolet,Bolt EUV,2023,Performance,994.0,937.0,4.05,193.0,6253278.26,Premium,158.9566
Tesla,Model S,2026,Long Range,993.0,949.0,4.56,187.0,11202845.14,Luxury,88.6382
Tesla,Model 3,2024,Premium,992.0,899.0,6.68,149.0,10723709.61,Luxury,92.5053
Tesla,Model S,2024,Premium,992.0,875.0,7.46,135.0,11269504.86,Luxury,88.0252
Tesla,Model Y,2025,Long Range,990.0,941.0,5.62,164.0,11672339.75,Luxury,84.8159
Porsche,Macan Electric,2025,Standard,990.0,873.0,6.69,148.0,15514016.93,Luxury,63.8133
GM/Chevrolet,Silverado EV,2025,Standard,989.0,925.0,5.25,184.0,5864957.34,Premium,168.6287
Hyundai,Kona Electric,2026,Premium,989.0,868.0,5.71,163.0,6580473.01,Premium,150.2931
Hyundai,Ioniq 6,2024,Performance,989.0,891.0,4.37,187.0,6472412.32,Premium,152.8024
Hyundai,Ioniq,2026,Long Range,987.0,924.0,5.83,159.0,6564328.28,Premium,150.3581
Mercedes,EQC,2022,Premium,987.0,922.0,5.37,175.0,12979766.88,Luxury,76.0414
BYD,Atto 3,2025,Long Range,986.0,946.0,4.35,183.0,7277806.56,Premium,135.4804
BMW,i3,2023,Long Range,986.0,880.0,5.14,174.0,9455357.97,Luxury,104.2795
Tesla,Model S,2025,Performance,986.0,851.0,4.25,187.0,11710450.82,Luxury,84.1983
Volkswagen,ID. Aero,2024,Performance,986.0,890.0,4.36,181.0,7543314.02,Premium,130.7118
Kia,Niro EV,2024,Performance,985.0,960.0,3.7,188.0,6827227.2,Premium,144.2753
Tesla,Model Y,2024,Premium,984.0,852.0,6.59,151.0,11442425.0,Luxury,85.9958
Ford,Explorer EV,2024,Premium,984.0,864.0,7.12,141.0,6725222.76,Premium,146.3149
Tesla,Cybertruck,2025,Long Range,983.0,865.0,4.66,176.0,11040950.32,Luxury,89.0322
Fisker,Ronin,2024,Long Range,983.0,908.0,5.43,166.0,9675856.42,Luxury,101.5931
Volkswagen,ID.3,2025,Performance,983.0,930.0,3.32,196.0,7388485.81,Premium,133.0449
Hyundai,Ioniq 6,2023,Long Range,981.0,917.0,5.56,164.0,6631659.35,Premium,147.9268
GM/Chevrolet,Bolt EUV,2026,Premium,979.0,856.0,7.57,130.0,5966172.7,Premium,164.0918
GM/Chevrolet,Bolt EUV,2025,Performance,978.0,870.0,3.59,193.0,5724223.93,Premium,170.8529
Tesla,Model S,2025,Long Range,976.0,910.0,5.39,169.0,10786800.54,Luxury,90.481
Kia,Niro EV,2021,Premium,976.0,864.0,7.57,137.0,6724302.6,Premium,145.1452
Tesla,Cybertruck,2025,Standard,976.0,906.0,5.09,175.0,10632482.52,Luxury,91.7942
Volkswagen,ID. Aero,2025,Performance,975.0,841.0,4.31,188.0,7242389.2,Premium,134.6241
Mercedes,EQG,2025,Premium,973.0,889.0,7.52,133.0,12795198.48,Luxury,76.0442
GM/Chevrolet,Bolt EUV,2026,Long Range,972.0,860.0,5.21,173.0,5883000.02,Premium,165.2218
Hyundai,Ioniq,2025,Long Range,972.0,902.0,4.63,186.0,6236895.56,Premium,155.8468
Rivian,R1S,2024,Standard,972.0,858.0,7.32,146.0,7116196.48,Premium,136.5898
Kia,Sportage EV,2025,Premium,972.0,869.0,6.43,149.0,6783893.2,Premium,143.2806
Kia,EV6,2026,Premium,967.0,895.0,5.15,173.0,6829261.26,Premium,141.5966
Ford,Mustang Mach-E,2024,Standard,967.0,916.0,6.77,149.0,6633089.7,Premium,145.7842
Tesla,Model S,2025,Long Range,966.0,876.0,4.55,187.0,11508724.0,Luxury,83.9363
Audi,e-tron,2024,Long Range,965.0,897.0,5.2,174.0,10331971.86,Luxury,93.3994
Audi,e-tron,2021,Performance,963.0,899.0,2.76,200.0,9943050.57,Luxury,96.8516
BYD,Seagull,2023,Standard,963.0,882.0,7.53,130.0,7025688.33,Premium,137.0684
Tesla,Model 3,2025,Performance,963.0,873.0,2.52,200.0,11132526.44,Luxury,86.5033
Hyundai,Ioniq,2020,Performance,962.0,889.0,3.09,200.0,6204591.08,Premium,155.0465
Volkswagen,ID. Aero,2023,Performance,961.0,853.0,2.61,200.0,6875831.72,Premium,139.7649
BYD,Leaf 50X,2021,Performance,961.0,894.0,4.0,200.0,7259274.57,Premium,132.3824
BYD,Dolphin,2025,Standard,960.0,881.0,5.34,166.0,6998417.23,Premium,137.1739
Tesla,Model Y,2025,Premium,960.0,849.0,7.44,132.0,10823582.29,Luxury,88.6952
BMW,iX,2026,Standard,959.0,885.0,6.23,159.0,9308215.1,Luxury,103.0273
NIO,EL6,2024,Long Range,958.0,836.0,5.18,171.0,8331246.74,Premium,114.9888
Hyundai,Kona Electric,2026,Performance,956.0,887.0,2.67,200.0,6496277.46,Premium,147.1612
NIO,EC6,2025,Premium,956.0,826.0,5.82,163.0,8616970.38,Luxury,110.9439
Tesla,Model S,2026,Long Range,955.0,881.0,4.94,171.0,10520233.47,Luxury,90.7775
BYD,Dolphin,2024,Premium,954.0,884.0,7.36,146.0,6973789.74,Premium,136.7979
BYD,Qin,2021,Premium,953.0,926.0,7.6,135.0,6539216.5,Premium,145.7361
BMW,i3,2023,Performance,953.0,813.0,4.09,188.0,9309893.46,Luxury,102.3642
Lucid,Air,2026,Standard,953.0,859.0,7.53,138.0,16647052.65,Luxury,57.2474
NIO,EC6,2023,Long Range,953.0,885.0,5.43,171.0,8183989.48,Premium,116.4469
Tesla,Cybertruck,2025,Premium,951.0,870.0,6.26,164.0,10965789.47,Luxury,86.7243
GM/Chevrolet,Equinox EV,2026,Performance,950.0,836.0,2.8,200.0,5995385.17,Premium,158.4552
Ford,E-Transit,2024,Premium,950.0,893.0,7.91,134.0,6837377.46,Premium,138.9422
GM/Chevrolet,Bolt EUV,2025,Long Range,950.0,828.0,5.66,157.0,5717256.69,Premium,166.1636
Kia,EV9,2025,Standard,950.0,840.0,7.19,133.0,6469878.93,Premium,146.8343
Tesla,Model S,2026,Long Range,950.0,859.0,4.6,176.0,10657550.89,Luxury,89.1387
Tesla,Model Y,2023,Performance,947.0,858.0,2.84,200.0,9985787.54,Luxury,94.8348
Mercedes,EQE,2026,Performance,945.0,822.0,4.1,196.0,12435228.32,Luxury,75.9938
BYD,Yuan Plus,2026,Standard,944.0,832.0,6.82,145.0,7546279.1,Premium,125.0948
Hyundai,Kona Electric,2024,Premium,943.0,794.0,7.11,150.0,6266973.93,Premium,150.4713
Tesla,Cybertruck,2024,Long Range,943.0,852.0,4.28,187.0,10999393.21,Luxury,85.732
Honda,e,2022,Premium,943.0,887.0,6.09,154.0,5065280.34,Mid-range,186.1694
Ford,E-Transit,2024,Standard,942.0,877.0,6.96,151.0,6810604.02,Premium,138.3137
Mercedes,EQE,2023,Standard,942.0,820.0,5.81,166.0,11858649.12,Luxury,79.4357
GM/Chevrolet,Blazer EV,2024,Premium,940.0,844.0,5.71,161.0,5851852.01,Premium,160.6329
Volkswagen,ID. Buzz,2025,Standard,939.0,848.0,5.85,160.0,7146502.81,Premium,131.3929
BMW,i3,2025,Premium,939.0,836.0,5.55,165.0,9051664.7,Luxury,103.7378
Toyota,bZ4X,2025,Long Range,939.0,924.0,4.49,184.0,6290844.08,Premium,149.2645
Tesla,Model S,2023,Premium,939.0,845.0,6.29,159.0,10963079.06,Luxury,85.6511
GM/Chevrolet,Bolt EUV,2026,Standard,938.0,820.0,7.19,142.0,5939879.38,Premium,157.9157
Tesla,Model 3,2026,Standard,936.0,844.0,6.59,154.0,10658498.62,Luxury,87.8172
Audi,Q4 e-tron,2025,Standard,936.0,892.0,6.24,160.0,10007520.09,Luxury,93.5297
Volkswagen,ID.4,2026,Standard,935.0,853.0,6.9,152.0,7226369.72,Premium,129.3872
Mercedes,EQE,2024,Premium,935.0,806.0,5.33,176.0,12243080.62,Luxury,76.3697
BYD,Atto 3,2025,Premium,934.0,836.0,5.81,160.0,6768401.45,Premium,137.9942
Tesla,Model S,2022,Long Range,932.0,846.0,4.49,181.0,11108318.96,Luxury,83.9011
Kia,Sportage EV,2025,Premium,931.0,831.0,7.08,146.0,6358199.35,Premium,146.4251
Rivian,R2,2024,Standard,931.0,808.0,5.22,165.0,7027102.82,Premium,132.487
Volkswagen,ID.4,2022,Long Range,931.0,861.0,4.66,181.0,6913390.02,Premium,134.6662
Tesla,Cybertruck,2026,Base,930.0,825.0,7.42,130.0,10132750.05,Luxury,91.7816
BMW,i7,2025,Premium,929.0,805.0,5.42,175.0,8973136.28,Luxury,103.5312
Ford,F-150 Lightning,2024,Premium,929.0,817.0,7.58,142.0,6616178.44,Premium,140.4134
Tesla,Model 3,2025,Premium,928.0,848.0,7.39,142.0,10676216.48,Luxury,86.9222
BYD,Seagull,2024,Standard,928.0,833.0,6.71,154.0,6984268.15,Premium,132.87
Tesla,Cybertruck,2025,Performance,927.0,847.0,2.94,200.0,9804234.33,Luxury,94.551
Fisker,Ronin,2025,Premium,925.0,853.0,7.48,140.0,8876551.83,Luxury,104.2071
Tesla,Model 3,2023,Standard,923.0,819.0,6.56,154.0,10746313.06,Luxury,85.8899
Kia,Sportage EV,2023,Standard,923.0,832.0,5.31,169.0,6469979.96,Premium,142.6589
Mercedes,EQG,2025,Standard,922.0,787.0,6.86,150.0,11615388.58,Luxury,79.3775
BMW,i3,2024,Premium,922.0,817.0,7.25,136.0,9111786.36,Luxury,101.1876
Hyundai,i30,2025,Performance,921.0,811.0,3.15,200.0,6041473.0,Premium,152.4463
Ford,F-150 Lightning,2025,Premium,919.0,842.0,7.69,139.0,6619847.44,Premium,138.825
Tesla,Model X,2024,Standard,917.0,842.0,5.27,172.0,10443005.15,Luxury,87.81
Ford,E-Transit,2023,Performance,917.0,787.0,4.13,184.0,6572689.98,Premium,139.5167
BMW,i3,2024,Premium,916.0,795.0,5.75,160.0,8750623.82,Luxury,104.6783
Ford,Mustang Mach-E,2025,Performance,915.0,803.0,4.26,180.0,6080850.76,Premium,150.4724
Ford,Explorer EV,2023,Performance,915.0,850.0,2.91,200.0,6555463.92,Premium,139.5782
Tesla,Cybertruck,2024,Standard,914.0,861.0,6.46,150.0,10922055.51,Luxury,83.6839
Tesla,Model X,2025,Performance,914.0,835.0,4.3,198.0,10594069.18,Luxury,86.2747
Tesla,Model 3,2024,Premium,913.0,812.0,7.17,140.0,10727273.39,Luxury,85.1102
Toyota,bZ4X,2025,Long Range,912.0,799.0,5.77,156.0,6062844.82,Premium,150.4244
Tesla,Model X,2025,Long Range,912.0,883.0,4.98,177.0,10013901.16,Luxury,91.0734
Tesla,Model S,2022,Long Range,912.0,859.0,5.42,159.0,9943180.83,Luxury,91.7212
BYD,Dolphin,2025,Standard,912.0,776.0,6.27,151.0,6910434.12,Premium,131.9743
Kia,Picanto EV,2025,Premium,912.0,808.0,6.67,144.0,6740240.24,Premium,135.3067
BYD,Qin,2026,Premium,912.0,788.0,7.2,137.0,6641822.13,Premium,137.3117
BYD,Seagull,2026,Standard,911.0,866.0,7.1,136.0,6319929.63,Premium,144.1472
Toyota,bZ4X,2026,Premium,910.0,807.0,6.41,152.0,6096368.4,Premium,149.2692
Tesla,Cybertruck,2024,Standard,910.0,830.0,6.57,154.0,10452274.49,Luxury,87.0624
Tesla,Model Y,2025,Standard,909.0,826.0,7.3,132.0,10269735.98,Luxury,88.5125
Tesla,Model 3,2023,Standard,907.0,860.0,6.3,150.0,10284856.15,Luxury,88.1879
BYD,Leaf 50X,2024,Long Range,907.0,801.0,5.67,164.0,6502391.32,Premium,139.4871
Hyundai,Ioniq 6,2025,Premium,906.0,841.0,6.71,150.0,6037798.16,Premium,150.0547
Tesla,Model 3,2023,Performance,906.0,862.0,3.23,195.0,10490470.73,Luxury,86.3641
Tesla,Model S,2022,Standard,905.0,847.0,5.72,163.0,10649663.48,Luxury,84.9792
Tesla,Model S,2024,Standard,905.0,784.0,5.61,177.0,10254435.44,Luxury,88.2545
Kia,Sportage EV,2026,Standard,904.0,810.0,6.28,151.0,6320581.76,Premium,143.0248
